Name,ICAO,IATA,CallSign,Country,Founded,Destinations,Fleet Size
Jetconnect,QNZ,QF,QANTAS,New Zealand,2001,6,8
Lignes Aériennes Congolaises,LCG,6V,CONGOLAISE,Congo; the Democratic Republic of the,,11,6
Palestinian Airlines,PNW,PF,PALESTINIAN,Egypt,1995,9,3
Wiggins Airways,WIG,WG,WIGGINS AIRWAYS,United States,1929,,41
ASKY Airlines,SKK,KP,ASKY AIRLINE,,2008,23,8
European Air Transport Leipzig,BCS,QY,EUROTRANS,,2005,,49
JETGO Australia,JGO,JG,JETGO,,2011,6,3
Lignes Aériennes Congolaises (1997,LCG,,CONGOLAISE,,,,
Palm Aviation,JSP,,,,,,4
Sol Líneas Aéreas,OLS,,FLIGHT SOL,,,13,4
Trans Maldivian Airways,TMW,M8,TRANS MALDIVIAN,Maldives,1989,63,45
Wiking Helikopter Service,WHS,,WEEKING,,1975,,3
Air Botswana,BOT,BP,BOTSWANA,Botswana,1972,7,7
Air Tanzania,ATC,TC,TANZANIA,,,4,3
ASL Airlines Hungary,FAH,,BLUE STRIP,,1990,,
British Airways,BAW,BA,SPEEDBIRD,United Kingdom,1974,188,297
Constanta Airline,UZA,,CONSTANTA,,1994,,7
Groninger Luchtvaart Maatschappij,,,,,2012,2,
Limitless Airways,LIM,,LIMITLESS,,2015,,1
Morningstar Air Express,MAL,,MORNINGSTAR,,1970,,13
Palm Beach Seaplanes,PBS,PB,PALM BEACH,,,,1
Sol Linhas Aéreas,SBA,,SOL,,2008,,1
Trans Nation Airways,TNW,,TRANS-NATION,,2004,,
Wimbi Dira Airways,WDA,9C,WIMBI DIRA,Congo; the Democratic Republic of the,2003,12,1
ASL Airlines Ireland,ABR,AG,CONTRACT,,1972,,26
European Coastal Airlines,ECB,CC,COASTAL CLIPPER,,2000,10,3
Grossmann Jet Service,GSJ,,GROSSJET,,2004,,2
Jetisfaction,,,,,,4,0
Palmair,,,,,1993,14,1
Royal Wings,RYW,RY,ROYAL WINGS,,1996,8,1
Solar Air,SRB,,SOLAR THAI,,2004,8,3
Winair,WIA,WM,WINDWARD,Sint Maarten (Dutch part),1961,11,7
Air Tchad,HTT,HT,HOTEL TANGO,,1966,,
ASL Airlines Switzerland,FAT,,FARNER,,1984,,14
British Airways Ltd (2012,BAT,BA,GHERKIN,,2012,2,2
European Executive,ETV,,EURO EXEC,,2002,4,2
Groupement Aérien Sénégalais,,,,,,,2
JetKonnect,JAI,,JET AIRWAYS,,1991,43,9
Línea Aérea Amaszonas,AZN,Z8,AMASZONAS,Bolivia; Plurinational State of,1998,19,8
Solaseed Air,SNJ,6J,NEWSKY,Japan,2002,8,12
Air Timor,,6C,,,2007,3,0
Eurowings,EWG,EW,EUROWINGS,Germany,1993,48,23
Grozny Avia,GOZ,ZG,GROZNYY AVIA,,,3,6
Línea Aérea Cuencana,LAC,L5,LACECUADOR,,2012,3,1
Moscow Aircraft Overhaul Plant,,,,,1997,,11
Pan African Air Services,PFN,,PANAFRICAN,,,,
Ruili Airlines,RLH,DR,SENDI,,2014,9,4
Solenta Aviation,SET,,SOLENTA,,2002,,33
Trans States Airlines,LOF,AX,WATERSKI,United States,1982,39,51
Air Bucharest,BUR,B1,AIR BUCHAREST,,2010,,1
Air Tindi,TID,,DISCOVERY,Canada,1988,6,32
Aspiring Air,,OI,ASPIRING,,,,4
EVA Air,EVA,BR,EVA,Taiwan; Republic of China,1989,74,63
Gryphon Airlines,VOS,Y3,,,,7,4
JetLite,JLL,S2,LITE JET,India,,30,19
Línea Aérea de Entre Ríos,,,LAER,,1967,6,3
Moscow Airlines,MOA,,MOSCOW AIRLINES,,,12,15
Pan African Airlines,,PF,,,,,
RUS Aviation,RLB,R4,RELIABLE,,1999,9,3
Solinair,SOP,,SOLINAIR,,1991,5,3
Windrose Air,QGA,,QUADRIGA,,,,16
Air Burkina,VBW,2J,BURKINA,Burkina Faso,1967,10,2
Associated Aviation,SCD,,ASSOCIATED,,1996,,3
Evelop Airlines,EVE,E9,EVELOP,,2013,34,2
Línea Turística Aereotuy,TUY,LD,AEREOTUY,Venezuela; Bolivarian Republic of,1982,10,8
PAN Air,PNR,PV,SKYJET,Spain,1987,,8
RusAir,CGI,,CGI,,1994,,2
Sólyom Hungarian Airways,HUN,,HUNGARIAN,,2013,,1
Transaero,TSO,UN,TRANSOVIET,,1990,156,97
Windrose Airlines,WRC,7W,WIND ROSE,Ukraine,2003,10,10
Air Burundi,PBU,,AIR-BURUNDI,,1971,,2
ASTA Linhas Aéreas,,,,,2009,7,3
Guine Bissau Airlines,BSR,G6,BISSAU AIRLINES,,,,
Linear Air,HPN,,HARPOON,,2004,,6
Moskovia Airlines,GAI,3R,GROMOV AIRLINE,Russian Federation,1995,,15
RusLine,RLU,,RUSLINE AIR,,1999,30,18
Somali Airlines,SOM,HH,SOMALAIR,,1964,,
Transaero Airlines,TSO,UN,TRANSOVIET,Russian Federation,,109,78
Wingo xprs,,,,,2007,6,1
Air Busan,ABL,BX,AIR BUSAN,,2007,14,14
Air Transat,TSC,TS,TRANSAT,Canada,1986,82,25
Guine Bissau Airlines (2002),BSR,G6,,,2002,,
Mosphil Aero,MPI,,MOSPHIL,,2005,4,1
Somon Air,SMR,SZ,SOMON AIR,,2007,20,6
Wings Air,WON,1W,WINGS ABADI,Indonesia,,24,17
Air Transport International,ATN,8C,AIR TRANSPORT,United States,1978,,12
Astra Airlines,AZI,A2,GREEK STAR,,,22,5
Everts Air,VTS,3Z,EVERTS,United States,1978,,18
Guinea Ecuatorial Airlines,GEA,,GEASA,,1996,,4
Jetstar Airways,JST,JQ,JETSTAR,Australia,2003,35,71
Motor Sich Airlines,MSI,M9,MOTOR SICH,Ukraine,1984,4,13
SonAir,SOR,,SONAIR,,1998,7,42
Air Cairo,MSC,SM,AIR CAIRO,,2003,,6
Air Tropiques,,,,,2001,,7
Guinee Air Service,GIS,,GASS,,,,
Jetstar Asia Airways,JSA,3K,JETSTAR ASIA,Singapore,2004,21,18
Líneas Aéreas Federales,FED,,FEDERALES,,2003,,
Mount Cook Airline,NZM,NM,MOUNTCOOK,,1920,14,18
RUTACA Airlines,RUC,RZ,RUTACA,,1974,5,14
Transair Georgia,,,,,,,
Air Trust,RTR,,,,2009,,5
British Gulf International Airlines,BGI,,BRITISH GULF,,,,5
Evolavia,,,,,,,
Jetstar Hong Kong,JKT,JM,KAITAK,,2012,,
RVL Aviation,REV,,ENDURANCE,,1985,,15
Songbird Airways,SGB,,SONGBIRD,,1990,7,1
Wings Aviation,TWD,,TRADEWINGS,,,,
Air Calédonie,TPC,TY,AIRCAL,New Caledonia,1954,9,4
British International Helicopters,BIH,BS,BRINTEL,United Kingdom,2000,3,25
Conviasa,VCV,V0,CONVIASA,Venezuela; Bolivarian Republic of,2004,22,27
Guizhou Airlines,CGH,G4,GUIZHOU,,1991,,4
Jetstar Japan,JJP,GK,ORANGE LINER,,2011,12,20
Mountain Air (New Zealand),,,,,1988,,2
RwandAir,RWD,WB,RWANDAIR,Rwanda,2002,18,8
TransAsia Airways,TNA,GE,TRANSASIA,Taiwan; Republic of China,1951,33,22
Wings of Alaska,SQH,K5,SASQUATCH,,1982,5,6
Air Turks and Caicos,IWY,JY,ISLANDWAYS,,,12,6
Copa Airlines,CMP,CM,COPA,Panama,1944,74,82
Executive Aerospace,EAS,,AEROSPACE,,1984,,6
Jetstar Pacific Airlines,PIC,BL,PACIFIC,Viet Nam,1990,13,10
Pan Européenne Air Service,PEA,,PEACH,,1977,,6
Ryan Air Services,RYA,,RYAN AIR,,1953,,14
Transavia,TRA,HV,TRANSAVIA,,1966,88,35
Wings of Bornholm,ETS,,EXTRANS,,2009,2,1
Air Canada,ACA,AC,AIR CANADA,Canada,1937,182,176
Ata Airlines,TBZ,I3,ATALAR,,,12,9
Copa Airlines Colombia,RPB,P5,AEROREPUBLICA,Colombia,1992,20,18
Gulf Air,GFA,GF,GULF AIR,,1950,43,28
Líneas Aéreas Privadas Argentinas,LPR,MJ,LAPA,,,19,5
Wings of Lebanon,WLB,W7,WINGS LEBANON,,,20,4
Air Canada Rouge,ROU,RV,ROUGE,,2012,49,34
Air Uganda,UGA,U7,UGANDA,,2007,9,0
ATA Airlines (Iran),TBZ,I3,ATALAR,,2010,12,10
Copenhagen Air Taxi,CAT,,AIRCAT,,,,
Executive Airlines (Spain),EXU,,SACAIR,,,,11
Gulf Air Bahrain,GBA,GF,GULF BAHRAIN,Bahrain,,6,10
JetSuite,RSP,,REDSTRIPE,,2006,,
Líneas Aéreas Suramericanas,LAU,,SURAMERICANO,,1972,27,8
MSR Flug-Charter,EBF,,SKYRUNNER,,,,
Sounds Air,SDA,S8,SOUNDSAIR,,1986,7,8
Copenhagen AirTaxi,CAT,,AIRCAT,,,,
Exin,EXN,,EXIN,,1991,,4
JetSul,,,,,1993,,
Mustique Airways,MAW,,MUSTIQUE,,,,
PANH,PAN,PA,PANH,,2013,,4
Ryanair,RYR,FR,RYANAIR,Ireland,1985,191,319
South African Airways,SAA,SA,SPRINGBOK,South Africa,1934,42,65
Transavia France,TVF,TO,FRANCE SOLEIL,,2006,30,21
Air Caraïbes,FWI,TX,FRENCH WEST,Guadeloupe,1969,13,8
Expedition Airways,XPD,FO,EXPEDITION,,,,
Gulf Helicopters,DOH,,,,1970,,37
RyanAtlantic,,,,,,,
South African Express,EXY,XZ,EXPRESSWAYS,South Africa,1994,19,24
Transavia.com,TRA,HV,TRANSAVIA,,,88,32
Wizz Air,WZZ,W6,WIZZ AIR,Hungary,2003,108,63
Air Caraïbes Atlantique,CAJ,TX,CAR LINE,,,4,4
Coral Sun Airways,,,CORAL SUN,,2009,,2
Exploits Valley Air Services,,,EVAS,,,5,23
Jhonlin Air Transport,JLB,,JHONLIN,,2011,4,4
Myanma Airways,UBA,UB,UNIONAIR,Myanmar,,32,12
South African Red Cross Air Mercy Service,AMD,,MERCYWINGS,,1966,,
Transavia.com France,TVF,TO,FRANCE SOLEIL,,,30,10
Atlantic Air Lift,HGH,,HIGHER,,2005,2,1
British Regional Airlines,BRT,TH,BRITISH,,1996,,56
Corendon Airlines,CAI,XC,CORENDON,,,,13
Expo Aviation,EXV,8D,EXPOAVIA,Sri Lanka,,,6
Jin Air,JNA,LJ,JIN AIR,Korea; Republic of,2008,36,16
Myanmar Airways International,MMA,8M,MYANMAR,,1946,9,13
Papua Indonesia Air System,,,,,2003,,
TransAVIAexport Airlines,TXC,AL,TRANSEXPORT,Belarus,1992,,6
Air Urga,URG,3N,URGA,Ukraine,1993,4,20
Corendon Dutch Airlines,CND,CD,DUTCH CORENDON,,2010,15,4
Express Air,XAR,XN,TRAVEL EXPRESS,,,37,12
Gum Air,GUM,,GUMAIR,,1972,,12
Myanmar National Airlines,UBA,UB,UNIONAIR,,1948,27,12
Ryukyu Air Commuter,RAC,,RYUKYU,,1985,10,5
Wolverine Air,,,,,1972,,6
Air Vallée,RVL,VK,AIR VALLEE,Italy,1987,9,2
Atlantic Airlines (United Kingdom),NPT,,NEPTUNE,,2001,,23
Corporate Air,CPT,OJ,AIR SPUR,,1981,,40
Express Freighters Australia,EFA,,EXPRESS FREIGHT,,2006,,4
Johnsons Air,JON,,JOHNSONS AIR,,,,3
S7 Airlines,SBI,S7,SIBERIAN AIRLINES,Russian Federation,1992,87,58
South East Asian Airlines,SRQ,DG,SEAIR,Philippines,,11,7
Transcarga,TIW,T7,TIACA,Venezuela; Bolivarian Republic of,1998,18,12
Wondair,WNR,,WONDAIR,,,,
Express One International,LHN,EO,LONGHORN,United States,1983,,1
Jordan Aviation,JAV,R5,JORDAN AVIATION,Jordan,1998,6,12
Link Air Express,LKX,,MUTTLEY,,,2,4
Mýflug,MYA,,MYFLUG,,1985,,4
South East Asian Airlines International,,XO,,,,3,2
